index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
1,Alamogordo Public Schools,TRUE,"Grab & Go meals will be available for curbside pickup at all school sites. For students who normally ride the school bus, Grab & Go meal packs will be delivered to designated bus stops.",,12 p.m. to 1 p.m.,https://sites.google.com/alamogordoschools.org/covid19/feeding-our-kids?authuser=0,,,,Alamagordo,NM,88310,32.870046,-105.948967,Otero County,US,1,place,,,,
3,Animas Public Schools,,No information currently available.,,,,,,,Animas,NM,88020,32.053042,-108.906944,Hidalgo County,US,1,place,,,,No info posted yet.
4,Artesia Public Schools,TRUE,The Artesia Public Schools will be serving breakfast and lunch to all currently enrolled students in Artesia Public Schools. Students may pick up their breakfast and lunch at any school in the district.,March 16 through April 3,8 a.m. to 9:30 a.m.,https://www.bulldogs.org/news#coronavirusupdatemarch132020,,,,Artesia,NM,88210,32.771797,-104.219669,Eddy County,US,1,place,,,,
5,Aztec Municipal School,TRUE,"Meal service will be provided  at Aztec High School ONLY on Monday March 16th and 17th.  Beginning  on Wednesday, March 18th service expands to  Aztec High, Park, Rippey and McCoy schools. Grab & Go Breakfast and Lunch will be provided. Additional community sites will be announced as they are confirmed.",,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11 a.m. to 12:30 p.m.",https://www.aztecschools.com/,,,,Aztec,NM,87410,36.842198,-107.818288,San Juan County,US,1,place,,,,
6,Belen Consolidated Schools,TRUE,Families will receive lunch and the following morning's breakfast at pick up beginning March 16th. Pick-up site does not need to be the student’s home school; they can select the most convenient site. Students must be present to claim meals.,,10:30 a.m. to 12:30 p.m.,https://www.beleneagles.org/article/208848?org=bcs,,,,Belen,NM,87002,34.651051,-106.695247,Valencia County,US,1,place,,,,
7,Bernalillo Public Schools,TRUE,Grab & Go meals will be distributed at all school sites. Breakfast and lunch will be picked up together.,,9 a.m. to 10 a.m.,https://www.bernalillo-schools.org/Domain/8,,,,Bernalillo,NM,87004,35.300040,-106.551140,Sandoval County,US,1,place,,,,
8,Bloomfield Schools,TRUE,Meals will be distributed at Bloomfield High School. The district is sending out a Robo call and posting information on their website. They are advising students and families to watch for the the buses.,,10 a.m. to 1 p.m.,http://www.bsin.k12.nm.us/,,,,Bloomfield,NM,87413,36.711120,-107.984510,San Juan County,US,1,place,,,,
9,Capitan Municipal Schools,TRUE,"All students, at all grade levels, who attend Capitan Municipal Schools are welcomed and encouraged to receive meals from the cafeteria in Traylor Gym. The Food 4 Kids Backpack Program will continue to have food for all registered students. Pickups are available Monday - Thursday from March 16th - April 2nd. Breakfast and lunch meals will be available at the same time so that families need only come once per day to campus.",,7:30 a.m. to 9:30 a.m.,https://www.facebook.com/TigersCapitan/,,,,Capitan,NM,88316,33.501389,-105.612793,Lincoln County,US,1,place,,,,
10,Carlsbad Municipal Schools,TRUE,"
Breakfast and lunch meals will be provided daily beginning March 16th at the following locations: Hillcrest Elementary, Carlsbad High School, Carlsbad
Intermediate School, Desert Willow Elementary and Carlsbad Sixth Grade Academy. Please follow signs when you arrive.
",,9 a.m. -10:30 a.m.,https://www.carlsbadschools.net/,,,,Carlsbad,NM,88220,32.416897,-104.465390,Eddy County,US,1,place,,,,
11,Carrizozo Muncipal Schools,TRUE,"Meals will be served from 9:30 - 12:00 for students Monday - Thursday in the school cafeteria. They will not be served during the week of March 23rd - March 27th, which is our scheduled Spring Break.",,9:30 a.m. to 12 p.m.,https://cms-k12-mt.schoolloop.com/,,,,Carrizozo,NM,88301,33.641799,-105.875816,Lincoln County,US,1,place,,,,
12,Central Consolidated,TRUE,"Grab & Go hot lunches will be served to children ages 1 to 18, from Monday, March 16th -  Wednesday, April 1st at Kirtland Middle School, Shiprock High School, and Newcomb High School. Serving time is 11:00 a.m. to 12:30 p.m. Children must be personally present at the distribution site to receive meals. These sites will serve district families until Central Consolidated Schools reopen. There will be no eating the meals at the school.",,11 a.m. to 12:30 p.m.,http://www.ccsdnm.org/,,,,Shiprock,NM,87420,36.791890,-108.697850,San Juan County,US,1,place,,,,
13,Chama Valley Independent Schools,TRUE,"During the 3 week closure beginning March 16th, the district will provide breakfast/lunch for all enrolled students on Monday - Thursdays. School and community pickup locations and times are posted on the district website.",,,https://www.chamaschools.org/,,,,Tierra Amarilla,NM,87575,36.696968,-106.576636,Rio Arriba County,US,1,place,,,,
14,Cimarron Municipal Schools,TRUE,"Students can pick up a Grab & Go Lunch and Breakfast at the following locations, Monday - Friday, for the duration of the closure:
Cimarron Elementary Cafeteria (West side of building): 11:00 am - 12:00 pm daily 
Eagle Nest School (front of the building): 11:30 am - 12:30 pm daily
Angel Nest Apartments (front of the building): 11:45 am - 12:00 pm daily
Angel Skye Apartments (front of the building): 12:00 pm - 12:15 pm daily
Lowe's grocery store (front of the building): 12:30 pm - 1:30 pm daily",,Varies by location,http://www.cimarronschools.org/,,,,Cimarron,NM,87714,36.504216,-104.905419,Colfax County,US,1,place,,,,
15,Clayton Municipal Schools,TRUE,"The district will be providing Grab & Go meals for students of Clayton Municipal Schools beginning Monday, March 16th. Parents should register for breakfast, lunch or both meals under the ""Parent"" tab on our website each day their child/ren will be eating. Parents will be notified on Monday via a SchoolMessenger call when and where the meals will be available for pick up.",,Please register on the website for time confirmation,https://www.facebook.com/Clayton-Municipal-Schools-243780196020618/,,,,Clayton,NM,88415,36.451155,-103.162935,Union County,US,1,place,,,,
16,Cloudcroft Municipal Schools,TRUE,"Cloudcroft High School cafeteria will remain open to provide grab & go breakfast and lunch meals to school-age students. Meal distribution will be located at the high school cafeteria at the South entrance (HWY 82 side) from 9:30-12:00, Tuesday through Friday, during the weeks of March 17th - March 20th  and March 31st -April 3rd.",,9:30 a.m. to 12 p.m.,https://tb2cdn.schoolwebmasters.com/accnt_21720/site_21721/Documents/New-School-Closure-2020.pdf,,,,Cloudcroft,NM,88317,32.889717,-105.674395,Otero County,US,1,place,,,,beginning march 17
17,Clovis Muncipal Schools,TRUE,"The district will continue to provide breakfast and lunch available to students, free of charge, between March 16th - 20th and March 30th - April 3rd. Students do not have to go to the school they attend to participate, so they may access the school site most convenient to them. Students must be present to receive a meal. All school cafeterias, with the exception of the iAcademy at Lincoln-Jackson, will be open for food pick-up for anyone 18 and under from 8-11 a.m. iAcademy students will go to the school site most convenient to them. Meals will be distributed at the rear entrance to each cafeteria. Students will receive breakfast and lunch at the same time. Modified menus will be posted to the District's website. Meals will not be provided between March 23rd - 27th, which is the week of Spring Break.",,8 a.m. to 11 a.m.,http://www.clovis-schools.org/Press%20Releases/2020/PRESS%20RELEASE%20-%20COVID-19%20UPDATE%2003_13_2020.pdf,,,,Clovis,NM,88101,34.497241,-103.294978,Curry County,US,1,place,,,,
